match_minute,period,event_type,team_name,player_name,jersey_number,assist_name,sub_in_name,goal_type,outcome,duel_type,card_color,pitch_x,pitch_y,end_pitch_x,end_pitch_y
,2nd half,Key Pass,UP Country Lions,Mohamed Asath,13,,,,,,,0.6058282208588958,0.2447058823529412,0.8282208588957055,0.22823529411764706
,2nd half,Block,UP Country Lions,Basith,23,,,,,,,0.7085889570552147,0.7341176470588235,,
,2nd half,Key Pass,UP Country Lions,Mohamed Asath,13,,,,,,,0.593558282208589,0.27294117647058824,0.8159509202453987,0.4776470588235294
,2nd half,Key Pass,UP Country Lions,Mohamed Akib,7,,,,,,,0.5751533742331288,0.25176470588235295,0.8113496932515337,0.36
,2nd half,Possession Lost,UP Country Lions,Mohamed Akib,7,,,,,,,0.7653374233128835,0.35764705882352943,,
,2nd half,Shot,UP Country Lions,Abdul Rahman Yahya,32,,,,off_target,,,0.8174846625766872,0.4988235294117647,,
,2nd half,Corner,UP Country Lions,,,,,,,,,,,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Akib,7,,,,,,,0.7898773006134969,0.3905882352941176,,
,2nd half,Key Pass,UP Country Lions,Mohamed Akib,7,,,,,,,0.5260736196319018,0.5647058823529412,0.8266871165644172,0.36
,2nd half,Interception,UP Country Lions,Zarwan,10,,,,,,,0.4447852760736196,0.4964705882352941,,
,2nd half,Possession Lost,UP Country Lions,Naveen Jude,21,,,,,,,0.7101226993865031,0.6847058823529412,,
,2nd half,Possession Lost,UP Country Lions,Naveen Jude,21,,,,,,,0.8619631901840491,0.7294117647058823,,
,2nd half,Key Pass,UP Country Lions,Basith,23,,,,,,,0.7070552147239264,0.64,0.8420245398773006,0.6823529411764706
,2nd half,Possession Lost,UP Country Lions,Senal,18,,,,,,,0.7223926380368099,0.3341176470588235,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Murseed,4,,,,,,,0.8757668711656442,0.3952941176470588,,
,2nd half,Key Pass,UP Country Lions,,,,,,,,,0.6993865030674846,0.5811764705882353,0.8803680981595092,0.36470588235294116
,2nd half,Key Pass,UP Country Lions,,,,,,,,,0.6641104294478528,0.6541176470588236,0.8450920245398773,0.691764705882353
,2nd half,Interception,UP Country Lions,Mohamed Murseed,4,,,,,,,0.5552147239263804,0.2823529411764706,,
,2nd half,Possession Lost,UP Country Lions,Zarwan,10,,,,,,,0.8052147239263804,0.41411764705882353,,
,2nd half,Foul,UP Country Lions,Senal,18,,,,,,,0.8297546012269938,0.611764705882353,,
,2nd half,Key Pass,UP Country Lions,Basith,23,,,,,,,0.8696319018404908,0.7694117647058824,0.8159509202453987,0.5152941176470588
,2nd half,Shot,UP Country Lions,Mohamed Murseed,4,,,,off_target,,,0.6947852760736196,0.35764705882352943,,
,2nd half,Shot,UP Country Lions,Senal,18,,,,off_target,,,0.848159509202454,0.611764705882353,,
,2nd half,Key Pass,UP Country Lions,Zarwan,10,,,,,,,0.8496932515337423,0.8305882352941176,0.8542944785276073,0.5976470588235294
,2nd half,Key Pass,UP Country Lions,Jude Suban,17,,,,,,,0.6042944785276073,0.2847058823529412,0.8174846625766872,0.8117647058823529
,2nd half,Interception,UP Country Lions,Mohamed Asath,13,,,,,,,0.5996932515337423,0.4588235294117647,,
,2nd half,Possession Lost,UP Country Lions,Zarwan,10,,,,,,,,,,
,2nd half,Interception,UP Country Lions,Zarwan,10,,,,,,,0.6825153374233128,0.6141176470588235,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Murseed,4,,,,,,,0.5306748466257669,0.20941176470588235,,
,2nd half,Possession Lost,UP Country Lions,Abdul Rahman Yahya,32,,,,,,,0.7101226993865031,0.4023529411764706,,
,2nd half,Interception,UP Country Lions,Naveen Jude,21,,,,,,,0.6441717791411042,0.3623529411764706,,
,2nd half,Duel,UP Country Lions,Daccosta Empem,44,,,,won,aerial,,0.4754601226993865,0.5647058823529412,,
,2nd half,Shot,UP Country Lions,Mohamed Asath,13,,,,off_target,,,0.7147239263803681,0.48705882352941177,,
,2nd half,Key Pass,UP Country Lions,Basith,23,,,,,,,0.8895705521472392,0.7694117647058824,0.8634969325153374,0.5223529411764706
,2nd half,Key Pass,UP Country Lions,Senal,18,,,,,,,0.74079754601227,0.6658823529411765,0.8236196319018405,0.6847058823529412
,2nd half,Interception,UP Country Lions,Mohamed Asath,13,,,,,,,0.7085889570552147,0.6211764705882353,,
,2nd half,Duel,UP Country Lions,Abdul Rahman Yahya,32,,,,won,grounded,,0.6794478527607362,0.7082352941176471,,
,2nd half,Foul,UP Country Lions,Mohamed Asath,13,,,,,,yellow,0.6717791411042945,0.2964705882352941,,
,2nd half,Duel,UP Country Lions,Mohamed Akib,7,,,,lost,grounded,,0.7576687116564417,0.34352941176470586,,
,2nd half,Duel,UP Country Lions,Mohamed Murseed,4,,,,won,grounded,,0.348159509202454,0.1623529411764706,,
,2nd half,Possession Lost,UP Country Lions,Zarwan,10,,,,,,,0.8190184049079755,0.7694117647058824,,
,2nd half,Key Pass,UP Country Lions,Zarwan,10,,,,,,,0.5904907975460123,0.2917647058823529,0.8205521472392638,0.7717647058823529
,2nd half,Interception,UP Country Lions,Saihidu,16,,,,,,,0.5214723926380368,0.3764705882352941,,
,2nd half,Key Pass,UP Country Lions,Zarwan,10,,,,,,,0.5444785276073619,0.29411764705882354,0.7714723926380368,0.21411764705882352
,2nd half,Possession Lost,UP Country Lions,Basith,23,,,,,,,0.4371165644171779,0.6517647058823529,,
,2nd half,Shot,UP Country Lions,Basith,23,,,,off_target,,,0.7576687116564417,0.6423529411764706,,
,2nd half,Shot,UP Country Lions,Abdul Rahman Yahya,32,,,,blocked,,,0.7377300613496932,0.3976470588235294,,
,2nd half,Key Pass,UP Country Lions,Mohamed Asath,13,,,,,,,0.5429447852760736,0.30823529411764705,0.7361963190184049,0.2964705882352941
,2nd half,Duel,UP Country Lions,Mohamed Asath,13,,,,lost,grounded,,0.7070552147239264,0.6329411764705882,,
,2nd half,Shot,UP Country Lions,Zarwan,10,,,,blocked,,,0.7070552147239264,0.6094117647058823,,
,2nd half,Substitution,UP Country Lions,Mohamed Ishan,11,,Senal,,,,,,,,
,2nd half,Substitution,UP Country Lions,Kavesh Lakpriya,25,,Saihidu,,,,,,,,
,2nd half,Substitution,UP Country Lions,Mohamed Akeel,30,,Basith,,,,,,,,
,2nd half,Interception,UP Country Lions,Abdul Rahman Yahya,32,,,,,,,0.4892638036809816,0.5388235294117647,,
,2nd half,Possession Lost,UP Country Lions,Zarwan,10,,,,,,,0.7561349693251533,0.5976470588235294,,
,2nd half,Key Pass,UP Country Lions,Mohamed Akeel,30,,,,,,,0.6702453987730062,0.731764705882353,0.8067484662576687,0.64
,2nd half,Save,UP Country Lions,,,,,,held,,,,,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Akib,7,,,,,,,0.7208588957055214,0.6329411764705882,,
,2nd half,Interception,UP Country Lions,Mohamed Akeel,30,,,,,,,0.6595092024539877,0.76,,
,2nd half,Possession Lost,UP Country Lions,Zarwan,10,,,,,,,0.7914110429447853,0.5811764705882353,,
,2nd half,Duel,UP Country Lions,Mohamed Akib,7,,,,won,grounded,,0.700920245398773,0.6282352941176471,,
,2nd half,Key Pass,UP Country Lions,Abdul Rahman Yahya,32,,,,,,,0.5828220858895705,0.7082352941176471,0.7515337423312883,0.571764705882353
,2nd half,Duel,UP Country Lions,Mohamed Akeel,30,,,,won,aerial,,0.34049079754601225,0.84,,
,2nd half,Clearance,UP Country Lions,Kavesh Lakpriya,25,,,,,,,0.16411042944785276,0.52,,
,2nd half,Interception,UP Country Lions,Daccosta Empem,44,,,,,,,0.27607361963190186,0.5505882352941176,,
,2nd half,Possession Lost,UP Country Lions,Abdul Rahman Yahya,32,,,,,,,0.8941717791411042,0.6164705882352941,,
,2nd half,Key Pass,UP Country Lions,Mohamed Akeel,30,,,,,,,0.6825153374233128,0.5694117647058824,0.7975460122699386,0.56
,2nd half,Duel,UP Country Lions,Zarwan,10,,,,won,grounded,,0.45245398773006135,0.33176470588235296,,
,2nd half,Duel,UP Country Lions,Mohamed Asath,13,,,,lost,grounded,,0.5214723926380368,0.2917647058823529,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Akib,7,,,,,,,0.6257668711656442,0.6352941176470588,,
,2nd half,Save,UP Country Lions,,,,,,held,,,,,,
,2nd half,Duel,UP Country Lions,Zarwan,10,,,,lost,grounded,,0.5736196319018405,0.72,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Asath,13,,,,,,,0.838957055214724,0.3247058823529412,,
,2nd half,Duel,UP Country Lions,Mohamed Asath,13,,,,won,grounded,,0.6104294478527608,0.43529411764705883,,
,2nd half,Goal,UP Country Lions,Naveen Jude,21,Mohamed Ishan,,open_play,,,,0.8052147239263804,0.5270588235294118,,
,2nd half,Key Pass,UP Country Lions,Mohamed Ishan,11,,,,,,,0.588957055214724,0.5411764705882353,0.7684049079754601,0.5694117647058824
,2nd half,Interception,UP Country Lions,Mohamed Ishan,11,,,,,,,0.5736196319018405,0.5811764705882353,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Ishan,11,,,,,,,0.8358895705521472,0.6470588235294118,,
,2nd half,Key Pass,UP Country Lions,Abdul Rahman Yahya,32,,,,,,,0.6717791411042945,0.6141176470588235,0.8328220858895705,0.6705882352941176
,2nd half,Interception,UP Country Lions,Mohamed Murseed,4,,,,,,,0.3604294478527607,0.3129411764705882,,
,2nd half,Duel,UP Country Lions,,,,,,won,grounded,,0.30828220858895705,0.6352941176470588,,
,2nd half,Shot,UP Country Lions,Abdul Rahman Yahya,32,,,,off_target,,,0.838957055214724,0.5976470588235294,,
,2nd half,Key Pass,UP Country Lions,Mohamed Akib,7,,,,,,,0.838957055214724,0.7388235294117647,0.8573619631901841,0.5247058823529411
,2nd half,Interception,UP Country Lions,Naveen Jude,21,,,,,,,0.6886503067484663,0.3388235294117647,,
,2nd half,Clearance,UP Country Lions,,,,,,,,,,,,
,2nd half,Interception,UP Country Lions,Jude Suban,17,,,,,,,0.2668711656441718,0.3341176470588235,,
,2nd half,Possession Lost,UP Country Lions,Naveen Jude,21,,,,,,,0.8542944785276073,0.3058823529411765,,
,2nd half,Key Pass,UP Country Lions,Jude Suban,17,,,,,,,0.2684049079754601,0.30117647058823527,0.6855828220858896,0.1952941176470588
,2nd half,Interception,UP Country Lions,Daccosta Empem,44,,,,,,,0.3113496932515337,0.4047058823529412,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Murseed,4,,,,,,,0.6411042944785276,0.18588235294117647,,
,2nd half,Key Pass,UP Country Lions,Mohamed Akeel,30,,,,,,,0.4003067484662577,0.6494117647058824,0.6426380368098159,0.5929411764705882
,2nd half,Duel,UP Country Lions,Mohamed Akeel,30,,,,won,grounded,,0.3312883435582822,0.7835294117647059,,
,2nd half,Possession Lost,UP Country Lions,Zarwan,10,,,,,,,0.8021472392638037,0.7670588235294118,,
,2nd half,Corner,UP Country Lions,Mohamed Ishan,11,,,,,,,,,,
,2nd half,Interception,UP Country Lions,Mohamed Ishan,11,,,,,,,0.7269938650306749,0.7670588235294118,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Murseed,4,,,,,,,0.5260736196319018,0.21176470588235294,,
,2nd half,Interception,UP Country Lions,Jude Suban,17,,,,,,,0.33588957055214724,0.4117647058823529,,
,2nd half,Possession Lost,UP Country Lions,Naveen Jude,21,,,,,,,0.7055214723926381,0.19294117647058823,,
,2nd half,Key Pass,UP Country Lions,Abdul Rahman Yahya,32,,,,,,,0.37576687116564417,0.36,0.7070552147239264,0.2
,2nd half,Interception,UP Country Lions,Kavesh Lakpriya,25,,,,,,,0.26993865030674846,0.36470588235294116,,
,2nd half,Possession Lost,UP Country Lions,Zarwan,10,,,,,,,0.6901840490797546,0.4164705882352941,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Akib,7,,,,,,,0.8006134969325154,0.7905882352941176,,
,2nd half,Key Pass,UP Country Lions,Abdul Rahman Yahya,32,,,,,,,0.4647239263803681,0.7105882352941176,0.6947852760736196,0.5976470588235294
,2nd half,Interception,UP Country Lions,Naveen Jude,21,,,,,,,0.3604294478527607,0.29411764705882354,,
,2nd half,Save,UP Country Lions,,,,,,held,,,,,,
,2nd half,Save,UP Country Lions,,,,,,deflected,,,,,,
,2nd half,Block,UP Country Lions,Mohamed Asath,13,,,,,,,0.12269938650306748,0.6023529411764705,,
,2nd half,Interception,UP Country Lions,Kavesh Lakpriya,25,,,,,,,0.15030674846625766,0.56,,
,2nd half,Save,UP Country Lions,,,,,,deflected,,,,,,
,2nd half,Foul,UP Country Lions,Daccosta Empem,44,,,,,,,0.34202453987730064,0.6188235294117647,,
,2nd half,Foul,UP Country Lions,Abdul Rahman Yahya,32,,,,,,,0.696319018404908,0.5529411764705883,,
,2nd half,Shot,UP Country Lions,Zarwan,10,,,,saved,,,0.7208588957055214,0.3035294117647059,,
,2nd half,Interception,UP Country Lions,Mohamed Akeel,30,,,,,,,0.5567484662576687,0.6752941176470588,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Asath,13,,,,,,,0.5444785276073619,0.48705882352941177,,
,2nd half,Substitution,UP Country Lions,Benjamin York,77,,Zarwan,,,,,,,,
,2nd half,Possession Lost,UP Country Lions,Mohamed Akeel,30,,,,,,,0.8312883435582822,0.7670588235294118,,
,2nd half,Interception,UP Country Lions,Abdul Rahman Yahya,32,,,,,,,0.6947852760736196,0.4988235294117647,,
